"","x","y","land","built_s","built_v","NUMPOINTS","pop","smod_10","smod_11","smod_12","smod_13","smod_21","smod_22","smod_23","smod_30","id","country"
"52",279000,1449000,1e+06,1.9,4.77,0,5.73208174481988,0,100,0,0,0,0,0,0,52,1
"53",289000,1449000,999026.45,1.21,3.04,0,3.65315069258213,0,100,0,0,0,0,0,0,53,1
"54",299000,1449000,998846.3,0.72,1.81,0,1.34231996536255,0,100,0,0,0,0,0,0,54,1
"55",309000,1449000,1e+06,462.18,1157.01,0,853.715515766292,0,97,3,0,0,0,0,0,55,1
"56",319000,1449000,1e+06,10234.41,36085.64,8,26702.4600380547,0,74,12,3,3,6,2,0,56,1
"57",329000,1449000,998753.89,2023.71,6015.1,0,4336.57609277963,0,90,6,3,1,0,0,0,57,1
"58",339000,1449000,998941.67,2365.06,8625.25,3,6379.98760194704,0,92,4,0,4,0,0,0,58,1
"59",349000,1449000,932077.74,6199.21,21564.02,4,16521.2982125506,2,78,11,4,3,0,2,0,59,1
"60",239000,1439000,1e+06,1467.21,3670.18,0,1786.36720531434,0,86,14,0,0,0,0,0,60,1
"61",249000,1439000,1e+06,4951.97,12383.86,4,5916.53100809455,0,72,24,4,0,0,0,0,61,1
"62",259000,1439000,1e+06,198.76,497.24,0,528.185570012778,0,98,2,0,0,0,0,0,62,1
"63",269000,1439000,1e+06,0.54,1.36,0,1.63430421426892,0,100,0,0,0,0,0,0,63,1
"64",279000,1439000,999873.03,2.15,5.39,0,6.47713223099709,0,100,0,0,0,0,0,0,64,1
"65",289000,1439000,996517.77,2.61,6.55,1,7.17637528851628,0,100,0,0,0,0,0,0,65,1
"66",299000,1439000,1e+06,0,0,0,0,0,100,0,0,0,0,0,0,66,1
"67",309000,1439000,1e+06,810.34,3104.34,1,2300.51399268582,0,97,1,2,0,0,0,0,67,1
"68",319000,1439000,1e+06,2231.39,6634.04,5,4919.89198328182,0,86,11,3,0,0,0,0,68,1
"69",329000,1439000,998186.42,371.61,930.01,0,686.059003379196,0,98,2,0,0,0,0,0,69,1
"70",339000,1439000,1e+06,864.26,2161.6,1,1603.07121105492,0,89,11,0,0,0,0,0,70,1
"71",349000,1439000,999586.23,3815.71,12822.58,3,9466.81922554597,0,90,5,1,2,0,2,0,71,1
"72",229000,1429000,997582.82,386.4,967.05,0,470.687106851489,0,99,1,0,0,0,0,0,72,1
"73",239000,1429000,1e+06,4293.3,10737.84,3,5164.01750022918,0,69,30,1,0,0,0,0,73,1
"74",249000,1429000,1e+06,5092.02,12735.57,7,6117.65231723711,0,58,42,0,0,0,0,0,74,1
"75",259000,1429000,1e+06,4952.53,12386.41,3,6392.01898229122,0,57,42,1,0,0,0,0,75,1
"76",269000,1429000,1e+06,7.04,17.65,0,21.2099043428898,0,100,0,0,0,0,0,0,76,1
"77",279000,1429000,998133.59,1.29,3.23,0,3.88147254288196,0,100,0,0,0,0,0,0,77,1
"78",289000,1429000,998484.27,1.21,3.05,0,1.49929652363062,0,100,0,0,0,0,0,0,78,1
"79",299000,1429000,1e+06,0,0,0,0,0,100,0,0,0,0,0,0,79,1
"80",309000,1429000,1e+06,1617.43,5950.43,1,4369.29607341439,0,95,4,1,0,0,0,0,80,1
"81",319000,1429000,999772.01,428.91,1073.05,0,795.788098827004,0,96,4,0,0,0,0,0,81,1
"82",329000,1429000,997636.45,449.07,1123.02,0,832.846521820873,0,97,2,1,0,0,0,0,82,1
"83",339000,1429000,1e+06,763.04,1908.67,1,1415.49496436864,0,93,7,0,0,0,0,0,83,1
"84",349000,1429000,1e+06,3764.21,11423.37,5,8491.21224510856,0,81,11,7,0,1,0,0,84,1
"85",219000,1419000,1e+06,2.88,7.23,0,3.51901943981648,0,100,0,0,0,0,0,0,85,1
"86",229000,1419000,998561.76,619.8,1551.19,0,755.002464223653,0,97,3,0,0,0,0,0,86,1
