"","x","y","land","built_s","built_v","pop","smod_10","smod_11","smod_12","smod_13","smod_21","smod_22","smod_23","smod_30"
"59",349000,1449000,932077.74,6199.21,21564.02,16521.2982125506,2,78,11,4,3,0,2,0
"60",239000,1439000,1e+06,1467.21,3670.18,1786.36720531434,0,86,14,0,0,0,0,0
"61",249000,1439000,1e+06,4951.97,12383.86,5916.53100809455,0,72,24,4,0,0,0,0
"62",259000,1439000,1e+06,198.76,497.24,528.185570012778,0,98,2,0,0,0,0,0
"63",269000,1439000,1e+06,0.54,1.36,1.63430421426892,0,100,0,0,0,0,0,0
"64",279000,1439000,999873.03,2.15,5.39,6.47713223099709,0,100,0,0,0,0,0,0
"65",289000,1439000,996517.77,2.61,6.55,7.17637528851628,0,100,0,0,0,0,0,0
"66",299000,1439000,1e+06,0,0,0,0,100,0,0,0,0,0,0
"67",309000,1439000,1e+06,810.34,3104.34,2300.51399268582,0,97,1,2,0,0,0,0
"68",319000,1439000,1e+06,2231.39,6634.04,4919.89198328182,0,86,11,3,0,0,0,0
"69",329000,1439000,998186.42,371.61,930.01,686.059003379196,0,98,2,0,0,0,0,0
"70",339000,1439000,1e+06,864.26,2161.6,1603.07121105492,0,89,11,0,0,0,0,0
"71",349000,1439000,999586.23,3815.71,12822.58,9466.81922554597,0,90,5,1,2,0,2,0
"72",229000,1429000,997582.82,386.4,967.05,470.687106851489,0,99,1,0,0,0,0,0
"73",239000,1429000,1e+06,4293.3,10737.84,5164.01750022918,0,69,30,1,0,0,0,0
"74",249000,1429000,1e+06,5092.02,12735.57,6117.65231723711,0,58,42,0,0,0,0,0
"75",259000,1429000,1e+06,4952.53,12386.41,6392.01898229122,0,57,42,1,0,0,0,0
"76",269000,1429000,1e+06,7.04,17.65,21.2099043428898,0,100,0,0,0,0,0,0
"77",279000,1429000,998133.59,1.29,3.23,3.88147254288196,0,100,0,0,0,0,0,0
"78",289000,1429000,998484.27,1.21,3.05,1.49929652363062,0,100,0,0,0,0,0,0
"79",299000,1429000,1e+06,0,0,0,0,100,0,0,0,0,0,0
"80",309000,1429000,1e+06,1617.43,5950.43,4369.29607341439,0,95,4,1,0,0,0,0
"81",319000,1429000,999772.01,428.91,1073.05,795.788098827004,0,96,4,0,0,0,0,0
"82",329000,1429000,997636.45,449.07,1123.02,832.846521820873,0,97,2,1,0,0,0,0
"83",339000,1429000,1e+06,763.04,1908.67,1415.49496436864,0,93,7,0,0,0,0,0
"84",349000,1429000,1e+06,3764.21,11423.37,8491.21224510856,0,81,11,7,0,1,0,0
"85",219000,1419000,1e+06,2.88,7.23,3.51901943981648,0,100,0,0,0,0,0,0
"86",229000,1419000,998561.76,619.8,1551.19,755.002464223653,0,97,3,0,0,0,0,0
"87",239000,1419000,1e+06,5754.08,15670.64,7606.43604170531,0,59,40,1,0,0,0,0
"88",249000,1419000,1e+06,15089.51,56752.44,27560.4348880202,0,38,53,0,5,0,4,0
"89",259000,1419000,1e+06,9316.05,23299.29,11882.1149801537,0,36,61,3,0,0,0,0
"90",269000,1419000,1e+06,966.48,2417.81,1293.38360187784,0,90,10,0,0,0,0,0
"91",279000,1419000,997597.59,3.94,9.9,11.0375261679292,0,100,0,0,0,0,0,0
"92",289000,1419000,997909.32,1.66,4.16,2.04494214430451,0,100,0,0,0,0,0,0
"93",299000,1419000,1e+06,5.81,14.56,7.15729750879109,0,100,0,0,0,0,0,0
"94",309000,1419000,1e+06,1112.82,2783.86,1553.90526368003,0,94,6,0,0,0,0,0
"95",319000,1419000,998979.3,144.28,361.52,268.10802346468,0,100,0,0,0,0,0,0
"96",329000,1419000,999208.74,67.95,170.29,126.289320811629,0,100,0,0,0,0,0,0
"97",339000,1419000,999568.96,80.69,202.16,146.157139856368,0,99,1,0,0,0,0,0
"98",149000,1409000,998197.91,11.68,29.3,10.7829059902579,0,100,0,0,0,0,0,0
"99",209000,1409000,1e+06,2.08,5.23,2.54557006061077,0,100,0,0,0,0,0,0
"100",219000,1409000,998032.32,75.07,187.74,91.3776932805777,0,99,1,0,0,0,0,0
"101",229000,1409000,998890.36,2119.08,5300.7,2579.98153924197,0,86,13,1,0,0,0,0
"102",239000,1409000,999264.96,7910.04,21217.46,10207.6923394054,0,46,50,4,0,0,0,0
"103",249000,1409000,1e+06,8114.44,21539.3,10415.0175505616,0,42,56,1,1,0,0,0
"104",259000,1409000,1e+06,7639.55,20250.01,9856.17974930629,0,44,55,1,0,0,0,0
"105",269000,1409000,1e+06,6448.33,16125.84,7897.39085949957,0,48,51,1,0,0,0,0
