"","x","y","land","built_s","built_v","pop","smod.10","smod.11","smod.12","smod.13","smod.21","smod.22","smod.23","smod.30","SCHOOLS"
"10127",-922000,1350000,1e+06,95.77,239.97,215.228851944208,0,100,0,0,0,0,0,0,"0"
"10128",-912000,1350000,992861.36,2555.08,7761.88,6603.46573397517,0,93,1,6,0,0,0,0,"0"
"10129",-902000,1350000,1e+06,202.77,507.65,479.077139126137,0,99,1,0,0,0,0,0,"0"
"10130",-892000,1350000,1e+06,933.61,2334.98,1909.94104928896,0,96,2,2,0,0,0,0,"0"
"10131",-882000,1350000,976763.65,7965.17,37643.53,20610.5693224985,1,86,6,0,4,0,3,0,"0"
"10132",-872000,1350000,1e+06,1661.92,5366.93,3183.25886937603,0,95,2,3,0,0,0,0,"0"
"10133",-862000,1350000,992669.9,3367.37,10505.81,6008.96623992362,0,89,8,3,0,0,0,0,"0"
"10134",-842000,1350000,1e+06,46.27,115.84,87.3782703392208,0,100,0,0,0,0,0,0,"0"
"10135",-832000,1350000,999948.11,2395.03,6929.58,5229.35396816954,0,88,7,4,0,1,0,0,"0"
"10136",-1482000,1340000,706271.91,381.5,953.99,1076.86297771335,27,61,12,0,0,0,0,0,"0"
"10137",-1462000,1340000,823761.55,936.32,2341.3,2642.85713385791,13,75,10,2,0,0,0,0,"0"
"10138",-1452000,1340000,932466.96,372.82,932.37,1052.45833857358,0,94,6,0,0,0,0,0,"0"
"10139",-1442000,1340000,890451.93,3997.69,12475.24,10979.7631890327,4,71,15,10,0,0,0,0,"0"
"10140",-1432000,1340000,949631.35,11151.54,38511.92,21180.4604041222,1,52,31,9,0,7,0,0,"0"
"10141",-1422000,1340000,980683,3518.74,8798.85,5947.44116551056,0,72,27,1,0,0,0,0,"0"
"10142",-1412000,1340000,998084.63,1461.43,3654.41,1885.76405604929,0,88,12,0,0,0,0,0,"0"
"10143",-1402000,1340000,1e+06,1280.01,3200.68,2645.43472078256,0,84,16,0,0,0,0,0,"0"
"10144",-1392000,1340000,998562.83,473.48,1184.12,948.014530343935,0,94,6,0,0,0,0,0,"0"
"10145",-1382000,1340000,1e+06,1186.4,2966.66,1827.26153192669,0,87,13,0,0,0,0,0,"0"
"10146",-1372000,1340000,1e+06,1862.3,5686.72,8792.65193809569,0,81,14,5,0,0,0,0,"0"
"10147",-1362000,1340000,1e+06,1381.45,3519.92,5836.22676253319,0,81,13,6,0,0,0,0,"0"
"10148",-1352000,1340000,1e+06,1438.88,3597.53,4795.24661711976,0,87,7,6,0,0,0,0,"0"
"10149",-1342000,1340000,1e+06,1502.41,3756.66,2700.24191068858,0,86,14,0,0,0,0,0,"0"
"10150",-1332000,1340000,996180.11,1046.63,2617.04,1937.58714772202,0,91,9,0,0,0,0,0,"0"
"10151",-1322000,1340000,997839.81,438.63,1096.87,891.280896987765,0,92,8,0,0,0,0,0,"0"
"10152",-1312000,1340000,999399.13,1225.14,3063.43,2539.53256423771,0,85,15,0,0,0,0,0,"0"
"10153",-1302000,1340000,999916.76,2436.89,6093.17,1977.01726195123,0,86,14,0,0,0,0,0,"0"
"10154",-1292000,1340000,999590.08,12528.91,51882.53,14093.2890192345,0,67,24,3,4,0,2,0,"0"
"10155",-1282000,1340000,993748.37,7061.43,17657.16,7800.37091292254,0,65,33,2,0,0,0,0,"0"
"10156",-1272000,1340000,1e+06,6313.02,16822.29,5515.29293953069,0,72,27,1,0,0,0,0,"0"
"10157",-1262000,1340000,997727.49,845.68,2114.69,1023.20918771997,0,91,9,0,0,0,0,0,"0"
"10158",-1252000,1340000,999862.37,2624.01,6561.19,3449.15293630026,0,83,15,2,0,0,0,0,"0"
"10159",-1242000,1340000,999717.55,4115.56,10290.5,5228.3041452365,0,77,21,2,0,0,0,0,"0"
"10160",-1232000,1340000,1e+06,17744.22,45538.59,14741.4910967061,0,25,67,8,0,0,0,0,"0"
"10161",-1222000,1340000,1e+06,9269.08,23177.19,5151.86995115923,0,63,37,0,0,0,0,0,"0"
"10162",-1212000,1340000,1e+06,11097.39,27774.29,8626.49157100403,0,55,42,3,0,0,0,0,"0"
"10163",-1202000,1340000,1e+06,4781.13,13489.13,4094.89487634226,0,82,16,2,0,0,0,0,"0"
"10164",-1192000,1340000,999850.16,6406.3,16018.94,5167.66041259747,0,67,29,4,0,0,0,0,"0"
"10165",-1182000,1340000,997576.51,3446.05,8617.5,3078.24603504688,0,73,27,0,0,0,0,0,"0"
"10166",-1172000,1340000,999153.53,3402.93,8509.84,2822.48522566073,0,82,18,0,0,0,0,0,"0"
"10167",-1162000,1340000,1e+06,2538.8,6349.01,2464.19525920693,0,86,14,0,0,0,0,0,"0"
"10168",-1152000,1340000,995331.85,1618.47,4047.74,1676.561535988,0,92,8,0,0,0,0,0,"0"
"10169",-1142000,1340000,1e+06,1069.88,2675.75,1632.5017943019,0,88,12,0,0,0,0,0,"0"
"10170",-1132000,1340000,1e+06,1824.25,4561.93,2968.3377121985,0,83,17,0,0,0,0,0,"0"
"10171",-1122000,1340000,1e+06,1329.54,3324.58,2425.70856343955,0,88,10,2,0,0,0,0,"0"
"10172",-1112000,1340000,998928.67,2982.32,7457.64,4813.58797897399,0,83,14,3,0,0,0,0,"0"
"10173",-1102000,1340000,999177.85,3889.87,9727.09,4848.26721990388,0,77,23,0,0,0,0,0,"0"
"10174",-1092000,1340000,1e+06,5254.73,13139.69,5301.03297687415,0,70,28,2,0,0,0,0,"1"
"10175",-1082000,1340000,998013.76,9213.92,31461.94,26709.643075306,0,59,25,11,1,0,4,0,"1"
"10176",-1072000,1340000,999457.73,1317.86,3295.67,3413.12561641075,0,80,20,0,0,0,0,0,"0"
"10177",-1062000,1340000,998488.82,1449.25,3623.97,3792.97270062566,0,89,5,6,0,0,0,0,"1"
"10178",-1052000,1340000,999193.93,3236.12,10335.27,10817.2520065568,0,83,10,4,0,3,0,0,"0"
"10179",-1042000,1340000,998844.76,1292.69,4402.35,4600.47230949253,0,97,1,2,0,0,0,0,"0"
"10180",-1032000,1340000,999549.93,30.32,75.96,51.5243706405163,0,100,0,0,0,0,0,0,"0"
"10181",-1022000,1340000,999163.8,315.29,788.65,531.140905748121,0,97,3,0,0,0,0,0,"0"
"10182",-1012000,1340000,998341.77,271.72,679.57,458.460363216698,0,98,2,0,0,0,0,0,"0"
"10183",-1002000,1340000,998833.34,31.93,79.95,54.0239136051386,0,100,0,0,0,0,0,0,"0"
"10184",-992000,1340000,1e+06,1255.07,3138.19,2120.5416723378,0,92,8,0,0,0,0,0,"0"
"10185",-982000,1340000,997940.2,544.65,1361.93,1023.84670542181,0,94,6,0,0,0,0,0,"0"
"10186",-972000,1340000,999007.35,464.36,1161.25,1041.18301438726,0,96,4,0,0,0,0,0,"0"
"10187",-962000,1340000,999607.9,852.86,2132.8,1912.27998926491,0,95,3,2,0,0,0,0,"0"
"10188",-952000,1340000,998715.17,1351.25,3379,3032.90791425668,0,89,9,2,0,0,0,0,"0"
"10189",-942000,1340000,984125.13,3989.47,11993.45,10803.5241911113,0,87,8,2,0,3,0,0,"0"
"10190",-932000,1340000,1e+06,333.22,833.91,763.404826443643,0,97,3,0,0,0,0,0,"0"
"10191",-922000,1340000,1e+06,251.84,630.41,540.303050011396,0,98,2,0,0,0,0,0,"0"
"10192",-912000,1340000,992797.04,4461.2,20545.08,17477.6136000436,0,91,3,1,3,0,2,0,"0"
"10193",-902000,1340000,1e+06,348.28,871.42,651.589033996686,0,97,3,0,0,0,0,0,"0"
"10194",-892000,1340000,1e+06,1446.25,3616.74,1980.07483272627,0,92,6,2,0,0,0,0,"0"
"10195",-882000,1340000,964441.56,2543.74,9395.82,5145.26824774965,2,92,3,3,0,0,0,0,"0"
"10196",-872000,1340000,999922.97,1501.24,3754.22,2226.57278206572,0,92,7,1,0,0,0,0,"0"
"10197",-862000,1340000,989754.35,5438.36,21121.16,11903.4361467771,0,90,6,2,0,0,2,0,"0"
"10198",-852000,1340000,993706.48,1808.31,5514.06,3802.02624152228,0,91,5,4,0,0,0,0,"0"
"10199",-842000,1340000,1e+06,544.5,1361.65,1027.55864649639,0,96,4,0,0,0,0,0,"0"
"10200",-832000,1340000,1e+06,964.68,4184.12,3163.13047446682,0,96,1,3,0,0,0,0,"0"
"10201",-1452000,1330000,811609.98,253.3,633.38,714.958721660078,11,88,0,1,0,0,0,0,"0"
"10202",-1442000,1330000,736453.52,2026.13,5202.98,2620.48563567083,20,67,13,0,0,0,0,0,"0"
"10203",-1432000,1330000,999240.42,15493.28,49597.49,34730.7651216453,0,35,46,5,7,4,3,0,"0"
"10204",-1422000,1330000,998026.33,9256.91,26309.25,20252.7874095515,0,52,33,5,8,0,2,0,"0"
"10205",-1412000,1330000,998754.83,831.84,2080.14,1671.27640171535,0,88,12,0,0,0,0,0,"0"
"10206",-1402000,1330000,1e+06,1013.58,2534.79,2077.67874561064,0,90,10,0,0,0,0,0,"0"
"10207",-1392000,1330000,999072.8,1768.47,4422,3569.99365671538,0,83,15,2,0,0,0,0,"0"
"10208",-1382000,1330000,1e+06,679.48,1699.05,2543.32894981653,0,90,8,2,0,0,0,0,"0"
"10209",-1372000,1330000,999794.18,604.23,1511.1,2505.48939457536,0,87,13,0,0,0,0,0,"0"
"10210",-1362000,1330000,999839.7,1091.62,2729.51,4525.68223588168,0,83,14,3,0,0,0,0,"0"
"10211",-1352000,1330000,1e+06,819.48,2049.08,1742.92192504927,0,89,11,0,0,0,0,0,"0"
"10212",-1342000,1330000,997266.45,841.89,2105.15,1770.53001413867,0,88,12,0,0,0,0,0,"0"
"10213",-1332000,1330000,999498.31,955.04,2387.93,2106.31238545477,0,92,7,1,0,0,0,0,"0"
"10214",-1322000,1330000,998574.2,1197.68,2994.79,2481.01545901596,0,87,13,0,0,0,0,0,"0"
"10215",-1312000,1330000,1e+06,1499.45,3749.29,3106.07635541074,0,80,20,0,0,0,0,0,"0"
"10216",-1302000,1330000,1e+06,2084.31,5211.52,3225.44129927736,0,82,18,0,0,0,0,0,"0"
